HG00119	HG00124	Second
HG00501	HG00524	First
HG00581	HG00635	First
HG00731	HG00733	First
HG00732	HG00733	First
HG01936	HG01983	Second
HG02024	HG02025	First
HG02024	HG02026	First
HG02046	HG02067	First
HG02250	HG02377	First
HG02353	HG02363	Second
HG02371	HG02372	First
HG02373	HG02381	First
HG02375	HG02388	Second
HG02386	HG02387	Second
HG03673	HG03948	First
HG03713	HG03715	First
NA19027	NA19311	Second
NA19238	NA19240	First
NA19239	NA19240	First
NA19313	NA19331	First
NA19660	NA19664	Second
NA19660	NA19685	First
NA19661	NA19685	First
NA19675	NA19678	First
NA19675	NA19679	First
NA19713	NA19985	Second
NA20289	NA20341	First
NA20321	NA20322	First
NA20334	NA20336	First
NA20526	NA20792	First
NA20868	NA20871	First
NA20886	NA20898	First
NA20893	NA20895	Second
